Date,Open,High,Low,Close,Adj Close,Volume
2013-12-30,81.080002,81.989998,81.010002,81.300003,60.769562,79100
2013-12-31,81.449997,82.449997,81.440002,82.169998,61.419868,109500
2014-01-02,81.080002,81.080002,79.760002,79.930000,59.745533,124000
2014-01-03,79.089996,79.250000,78.000000,78.669998,58.803719,117600
2014-01-06,77.989998,77.989998,77.190002,77.239998,57.734825,96800
2014-01-07,77.040001,77.320000,76.790001,77.000000,57.555435,114200
2014-01-08,76.500000,76.550003,75.709999,76.230003,56.979893,143300
2014-01-09,75.050003,76.070000,74.400002,74.900002,55.985744,170600
2014-01-10,75.330002,75.919998,75.220001,75.800003,56.658474,128400
2014-01-13,75.849998,76.150002,75.019997,75.190002,56.202511,110200
2014-01-14,76.000000,76.959999,75.800003,76.879997,57.465748,142800
2014-01-15,76.750000,76.769997,76.349998,76.620003,57.271389,81600
2014-01-16,76.500000,76.800003,76.150002,76.269997,57.009777,105500
2014-01-17,77.510002,77.769997,77.029999,77.230003,57.727364,132500
2014-01-21,81.510002,82.250000,81.150002,81.800003,61.143307,258600
2014-01-22,82.839996,83.260002,82.099998,82.870003,61.943108,154600
2014-01-23,80.760002,80.919998,79.699997,80.309998,60.029579,142100
2014-01-24,80.790001,80.790001,79.379997,79.470001,59.401699,149900
2014-01-27,79.820000,80.779999,79.570000,79.870003,59.700676,193000
2014-01-28,79.800003,80.300003,79.620003,79.989998,59.790371,86100
2014-01-29,78.980003,79.019997,77.750000,78.269997,58.504723,172500
2014-01-30,79.309998,79.690002,78.580002,79.050003,59.087757,156700
2014-01-31,79.029999,79.489998,78.250000,78.830002,58.923306,93100
2014-02-03,79.019997,79.459999,77.709999,77.760002,58.123520,293700
2014-02-04,77.000000,78.360001,76.739998,78.180000,58.437462,323200
2014-02-05,76.220001,76.580002,75.320000,76.070000,56.860291,251500
2014-02-06,75.730003,75.779999,74.760002,74.980003,56.045544,485700
2014-02-07,75.250000,75.760002,74.660004,75.449997,56.396851,207700
2014-02-10,74.720001,74.760002,73.989998,74.529999,55.709175,257200
2014-02-11,75.760002,77.250000,75.760002,77.089996,57.622719,359700
2014-02-12,78.000000,78.190002,77.150002,77.389999,57.846954,140700
2014-02-13,76.940002,77.379997,76.540001,77.260002,57.749790,81900
2014-02-14,77.930000,78.980003,77.910004,78.489998,58.669170,101900
